"Name","DisplayName","Status","StartType","Path"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual",
"GoogleUpdaterInternalService138.0.7156.2","Servicio interno de la herramienta de actualización de Google (GoogleUpdaterInternalService138.0.7156.2)","Stopped","Automatic",
"GoogleUpdaterService138.0.7156.2","Servicio de herramienta de actualización de Google (GoogleUpdaterService138.0.7156.2)","Stopped","Automatic",
"gpsvc","Cliente de directiva de grupo","Running","Automatic",
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual",
"gupdate","Servicio de Google Update (gupdate)","Stopped","Automatic",
"gupdatem","Servicio de Google Update (gupdatem)","Stopped","Manual",
"hidserv","Servicio de dispositivo de interfaz humana","Stopped","Manual",
"hns","Servicio de red de host","Running","Manual",
"HPPrintScanDoctorService","HP Print Scan Doctor Service","Running","Automatic",
"HvHost","Servicio de host HV","Running","Manual",
"icssvc","Servicio de zona con cobertura inalámbrica móvil de Windows","Stopped","Manual",
"igccservice","Intel(R) Graphics Command Center Service","Running","Automatic",
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Running","Automatic",
"IKEEXT","Módulos de creación de claves de IPsec para IKE y AuthIP","Stopped","Manual",
"InstallService","Servicio de instalación de Microsoft Store","Running","Manual",
"Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service","Stopped","Automatic",
"InventorySvc","Servicio de inventario y compatibilidad de proveedores","Running","Automatic",
"iphlpsvc","Aplicación auxiliar IP","Running","Automatic",
"IpxlatCfgSvc","Servicio de configuración de traslación de IP","Stopped","Manual",
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Automatic",
"KeyIso","Aislamiento de claves CNG","Running","Manual",
"KtmRm","KTMRM para DTC (Coordinador de transacciones distribuidas)","Stopped","Manual",
"LanmanServer","Servidor","Running","Automatic",
"LanmanWorkstation","Estación de trabajo","Running","Automatic",
"lfsvc","Servicio de geolocalización","Running","Manual",
"LicenseManager","Servicio de administrador de licencias de Windows","Running","Manual",
"LightKeeperService","LightKeeperService","Running","Automatic",
"lltdsvc","Asignador de detección de topologías de nivel de vínculo","Stopped","Manual",
"lmhosts","Aplicación auxiliar de NetBIOS sobre TCP/IP","Running","Manual",
"LMS","Intel(R) Management and Security Application Local Management Service","Running","Automatic",
"LocalKdc","Centro de distribución de claves local de Kerberos","Stopped","Automatic",
"LSM","Administrador de sesión local","Running","Automatic",
"LxpSvc","Servicio de experiencia de idioma","Stopped","Manual",
"MapsBroker","Administrador de mapas descargados","Stopped","Automatic",
"MariaDB","MariaDB","Running","Automatic",
"McpManagementService","McpManagementService","Stopped","Manual",
"MDCoreSvc","Microsoft Defender Core Service","Running","Automatic",
"MessagingService_2bb48ad3","MessagingService_2bb48ad3","Stopped","Manual",
"Micro Star SCM","Micro Star SCM","Running","Automatic",
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual",
"MozillaMaintenance","Mozilla Maintenance Service","Stopped","Manual",
"mpssvc","Firewall de Windows Defender","Running","Automatic",
"MSDTC","Coordinador de transacciones distribuidas","Stopped","Manual",
"MSI Foundation Service","MSI Foundation Service","Running","Automatic",
"MSI Sendevsvc","Sensor dev service","Running","Automatic",
"MSiSCSI","Servicio del iniciador iSCSI de Microsoft","Stopped","Manual",
"msiserver","Windows Installer","Stopped","Manual",
"MSI_Central_Service","MSI Central Service","Running","Automatic",
"MSI_Companion_Service","MSI_Companion_Service","Running","Automatic",
"Mystic_Light_Service","Mystic_Light_Service","Running","Automatic",
"NahimicService","Nahimic service","Running","Automatic",
"NativePushService","Wondershare Native Push Service","Running","Automatic",
"NaturalAuthentication","Autenticación natural","Stopped","Manual",
"NcaSvc","Asistente para la conectividad de red","Stopped","Manual",
"NcbService","Agente de conexión de red","Running","Manual",
"NcdAutoSetup","Configuración automática de dispositivos conectados a la red","Stopped","Manual",
"Netlogon","Net Logon","Stopped","Manual",
"Netman","Conexiones de red","Stopped","Manual",
"netprofm","Servicio de lista de redes","Running","Manual",
"NetSetupSvc","Servicio de configuración de red","Stopped","Manual",
"NetTcpPortSharing","Servicio de uso compartido de puertos Net.Tcp","Stopped","Disabled",
"NgcCtnrSvc","Contenedor de Microsoft Passport","Running","Manual",
"NgcSvc","Microsoft Passport","Running","Manual",
"NlaSvc","Reconocimiento de ubicación de red","Stopped","Manual",
"NPSMSvc_2bb48ad3","Reproducción del Servicio administrador de sesiones_2bb48ad3","Running","Manual",
"nsi","Servicio Interfaz de almacenamiento en red","Running","Automatic",
"nvagent","Servicio de virtualización de red","Running","Manual",
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Running","Automatic",
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Automatic",
